the T
be b
am `m
is `Iz
are `ar
was ws
were wr
and &
of `f
a A
in `In
to t
have hf
had hd
it `It
I I
that Tt
for fr
you y
he h
with wT
on `an
do d
does ds
doing dN
done dn
did dd
say s`
says sz
said sd
this Ts
they T`
at `At
but bt
we w
his hs
from frm
not nt
by b`
she S
or `or
as `Az
what wt
go g
goes gs
going gN
gone gn
went wEnt
their Tr
can kn
who hu`
get gEt
gets gEts
getting gtN
got gat
gotten gtn
if `If
would wd
her hr
all `l
my m`
make mk
makes mks
making mkN
made md
about `bt
know n
knows ns
knowing nN
knew nu`
will wIl
up `p
one wn
time tm
there Tr
year yir
so s
think Tink
thinks Tinks
thinking TinkN
thought Tat
when wEn
which wtS
them Tm
some sm
me m
people ppl
take tek
takes teks
taking tekN
took tUk
taken tkn
out `^at
into `Int`
just dZst
see si`
him hm
your yor
come km
comes kms
coming kmN
came kem
could kd
now n`
than TAn
like l!ak
other `Tr
how h^a`
then TEn
its `ts
our `ar
two t
more mr
these Tiz
want want
wants wants
wanting wntN
wanted wntt
way we`
look lk
looks lks
looking lkN
looked lkt
first frst
also `ls
new nu`
because bks
day d`
use yz
uses yzz
using ysN
used yst
no n
man mn
find f!and
finds f!ands
finding fndN
found f^and
here hir
thing TN
give gIv
gives gIvs
giving gvN
gave gev
given gvn
many mn`
well wEl
only `nl`
those Toz
tell tl
tells tls
telling tlN
told tld
very vr`
even `vn
back bk
backs bks
backing bkN
backed bkt
any `n`
good gd
woman wmn
through Tru`
us `s
life lf
child tSld
work wrk
works wrks
working wrkN
worked wrkt
down d^an
downs d^ans
downing d^anN
downed d^ant
may me`
after `ftr
should Sd
call kal
calls kals
calling kalN
called kalt
world wrld
over `vr
school skl
still stl
try tr`
tries trs
trying trN
tried tr!ad
in `In
last lst
ask `sk
asks `sks
asking `skN
asked `skt
need nd
needs nds
needing ndN
needed ndd
too t
feel fil
feels fils
feeling filN
felt flt
three Tri`
state stt
states stts
stating sttN
stated sttd
never nvr
become bkm
becomes bkms
becoming bkmN
became bkem
between btwn
high h!a`
really rl`
something smTN
most most
another `nTr
much mtS
family fml`
own `on
owns `ons
owning `onN
owned `ont
leave liv
leaves livs
leaving livN
left lEft
put pt
puts pts
putting ptN
old `ld
while w!al
mean min
means mins
meaning minN
meant mEnt
keep kp
keeps kps
keeping kpN
kept kpt
student stdnt
why w!a`
let lt
lets lts
letting ltN
great grt
same sem
big bg
group grp
groups grps
grouping grpN
grouped grpt
begin bgIn
begins bgIns
beginning bgnN
began bgAn
begun bgOn
seem sim
seems sims
seeming simN
seems sims
seemed simt
country kntr`
help hlp
talk tak
where wEr
we're wir
turn trn
problem prblm
every `fr`
start strt
hand hnd
might m!at
American `mrkn
show S`
part prt
against `knst
place pls
such stS
again `kn
few fy
case ks
week wk
company kmpn`
system sstm
each `tS
right rt
program prkrm
hear hir
question kwstn
during drN
play pl`
government gvrnmnt
run rn
small sml
number nmbr
off `af
always `lws
move mf
night n!at
live lIv
Mr mstr
point p!ont
believe blf
hold hld
today td`
bring brN
brings brNs
bringing brNN
brought brt
happen hpn
next nkst
without wTt
before bfr
large lrdZ
million mlyn
must mst
home hm
under `ntr
water wtr
room rm
write r!at
mother mTr
area `r`
national nSnl
money mn`
story str`
young yN
fact fkt
month mnT
different dfrnt
lot lat
study std`
book bUk
eye I
job tSb
word wrd
though T^o`
business bsns
issue iSy
side s!ad
kind knd
four fr
head hEd
far far
black blk
long lN
both bT
little ltl
house hs
yes ys
since sns
provide prvd
service srvs
around `rnd
friend frnd
important `mprtnt
father fTr
sit sIt
away `w`
until `ntl
power pwr
hour `wr
game gm
often `ftn
yet yt
line ln
political pltkl
end `nd
among `mN
ever `vr
stand stnd
bad bd
lose lz
however hwfr
member mmpr
pay p`
law la`
meet mt
car kr
city st`
almost `lmst
include `nklt
continue kntny
set sEt
later ltr
community kmynt`
name nm
five fv
once wns
white w!at
least list
president prstnt
learn lrn
real rl
change tSndZ
team tim
minute mnt
best bst
several sfrl
idea `d`
kid kd
body bd`
information `nfrmSn
nothing nTN
ago `g`
lead ld
social sSl
understand `ntrstnt
whether wTr
watch wtS
together tkTr
follow fal`
parent prnt
stop stap
face fs
anything `nTN
create krt
public pblk
already `lrd`
speak spk
others `Trs
read rd
level lfl
allow `l`
add `d
office `fs
spend spnd
door dr
health hlT
person prsn
art `rt
sure Sr
war wor
history hstr`
party part`
within wTn
grow gr`
result rslt
open `pn
morning mrnN
walk wak
reason rsn
low lo`
win wIn
research rsrtS
girl grl
guy g`
early `rl`
food fd
moment mmnt
himself hmslf
are `ar
air `Er
teacher ttSr
force frs
offer `fr
enough `nf
education `dykSn
across `krs
although `lT`
remember rmmbr
foot ft
second sknd
boy b!o`
maybe mb
toward twrt
able `bl
age `dZ
policy pls`
everything `frTN
love lOv
process prss
music mzk
including `nkltN
consider knstr
appear `pr
actually `ktSl`
buy b`
probably prbbl`
human hmn
wait w!et
serve srv
market mrkt
die d!a`
send sEnd
expect `kspkt
sense
build
stay
fall
oh O
nation
plan
cut
college
interest
death
course
someone
experience
behind
reach
local
kill
six
remain
effect
yeah
suggest
class
control
raise
care
perhaps
late
hard
field
else
pass
former
sell
major
sometimes
require
along
development
themselves
report
role
better
economic
effort
decide
rate
strong
possible
heart
drug
leader
light
voice
wife wf
whole
police
mind
finally
pull
return
free
military
price
report
less
according
decision
explain
son
hope
develop
view
relationship
carry
town
road
drive
arm
true
federal
break
better
difference
thank
receive
value
international
building
action
full
model
join
season
society
tax
director
position
player
agree `gr`
agreed `grt
especially
record
pick
wear
paper
special
space
ground
form
support
event
official
whose
matter
everyone
center
couple
site
project
hit
base
activity
star
table
need
court
produce
eat
American
teach
oil
half
situation
easy
cost
industry
figure
street
image
itself
phone
either
data
cover
quite
picture
clear
practice
piece
land
recent
describe
product
doctor
wall
patient
worker
news
test
movie
certain
north nrT
personal
support
simply
third
technology
catch
step
baby
computer
type
attention
draw
film
Republican
tree
source
red
nearly
organization
choose
cause
hair
century
evidence
window
difficult
listen
soon
culture
billion
chance
brother
energy
period
course
summer
less
realize
hundred
available
plant
likely
opportunity
term
short
letter
condition
choice
single snkl
rule
daughter
administration
south
husband
Congress
floor
campaign
material
population
economy
medical
hospital
church
close
thousand
risk
current
fire
future
wrong
involve
defense
anyone
increase
security
bank
myself
certainly
west
sport
board
seek
per
subject
officer
private
rest
behavior
deal dl
dealt dlt
performance
fight
throw
top
quickly
past
goal
bed
order
author
fill
represent
focus
foreign
drop
plan
blood
upon
agency
push
nature
color
no
recently
store
reduce
sound
note
fine
near
movement
page
enter
share
common
poor
natural
race
concern
series
significant
similar
hot
language
usually
response
dead
rise
animal
factor
decade
article
shoot
east
save
seven
artist
scene
stock
career
despite
central
eight
thus
treatment
beyond
happy
exactly
protect
approach
lie
size
dog
fund
serious
occur
media
ready
sign
list
individual
simple
quality
pressure
accept
answer
hard
resource
identify
left
meeting
determine
prepare
disease
whatever
success
argue
cup
particularly
amount
ability
staff
recognize
indicate
character
growth
loss
degree
wonder
attack
herself
region
television
box
TV
training
pretty
trade
deal
election
everybody
physical
lay
general
feeling
standard
bill
message
fail
outside
arrive
analysis
benefit
sex
forward
lawyer
present
section
environmental
glass
answer
skill
sister
PM
professor
operation
financial
crime
stage
ok
compare
authority
miss
design
sort
act
ten
knowledge
gun
station
blue
strategy
clearly
discuss
indeed
truth trT
song
example
democratic
check
environment
leg
dark
various
rather
laugh
guess
executive
study
prove
hang
entire
rock
design
forget
claim
note
remove
manager
close
sound
enjoy
network
legal
religious
cold
form
final
main
science
green
memory
card
above
seat
cell
establish
nice
trial
expert
spring
firm
Democrat
radio
visit
management
care
avoid
imagine
tonight
huge
ball
no
close
finish
yourself
theory
impact
respond
statement
maintain
charge
popular
traditional
onto
reveal
direction
weapon
employee
cultural
contain
peace
control
base
pain
apply
measure
wide
